accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.535940594059406,0.5448952879581151,0.7747999255536944,0.6398217167447937,0.0456138482027787,0.0013282289728522,0.0364448758106298,0.0256904400885105,-0.1170517206192016,0.4801980198019802,-0.0974718689283761,0.9821541905403136,-99.97154235839844,-99.99071502685548,A7,concat,0,456,"[""price""]",29655,10100,9251,0.0456138482027787,23,1,0.005,64,20,1.0,64,0.0001,0.5,115.46228623390198
0.5455283727540351,0.5496876774559909,0.9043348281016442,0.6837606837606838,0.0372339674248102,0.0007918577757664,0.028139967586449,0.0217114314436912,-0.517591118812561,0.4635062430210131,-1.151760103793534,0.8297551870346069,-100.0,-100.0,A7,concat,1,456,"[""price""]",39755,9851,9251,0.0372339674248102,22,1,0.005,64,20,1.0,64,0.0001,0.5,146.58386993408203
0.5025553662691652,0.5114471452798192,0.7060085836909872,0.5931814456646451,-0.0069706847021253,0.0005611096858046,0.0236877539206378,0.0182699877768754,-0.0065045356750488,0.4952400040084176,-0.1274119361872145,0.9794381856918336,-99.04124450683594,-99.35725402832033,A7,concat,2,456,"[""price""]",49606,9979,9251,-0.0069706847021253,26,1,0.005,64,20,1.0,64,0.0001,0.5,209.82565093040463
0.5158094856914148,0.5229570921016671,0.7395169082125603,0.6126630913311455,0.017031891094297,0.0005273556453175,0.022964225336762,0.0180821400135755,-0.000731348991394,0.5187112267360416,0.616104786604203,1.1035557985305786,52156.76953125,-67.965087890625,A7,concat,3,456,"[""price""]",59585,9994,9251,0.017031891094297,31,1,0.005,64,20,1.0,64,0.0001,0.5,298.9952299594879
0.5254762959680992,0.536697247706422,0.780650542118432,0.636085626911315,0.0201777764037471,0.0003633422020357,0.0190615372421982,0.014933199621737,-0.0002281665802001,0.5290208241027913,0.6261170609470774,1.1056519746780396,1210.2999267578125,-43.92962646484375,A7,concat,4,456,"[""price""]",69579,4514,9251,0.0201777764037471,42,1,0.005,64,20,1.0,64,0.0001,0.5,458.1791560649872
0.530436013590034,0.5448340786067309,0.6260140616549487,0.582609789857808,0.05248071764776096,0.001672950224019587,0.04090171419414579,0.030291080474853516,0.0019667744636535645,0.5369479048697622,0.8566851806798532,1.1560802459716797,1556125.875,-70.92176055908203,A7,concat,0,42,"[""price""]",17224,7064,9251,0.05248071764776096,32,1,0.01,64,20,1.0,64,0.0001,0.5,101.89354205131531
0.5466525295365041,0.5527824620573356,0.9057750759878419,0.6865640381191748,0.027548096916830262,0.0007512776646763086,0.027409444807881617,0.02283136360347271,-0.002350330352783203,0.5490760375643744,1.545978281718066,1.2624770402908325,369514336.0,-43.9464225769043,A7,concat,1,42,"[""price""]",24288,6602,9251,0.027548096916830262,34,1,0.01,64,20,1.0,64,0.0001,0.5,145.23906207084656
0.48570158542006225,0.49748633879781423,0.660092807424594,0.5673688146578587,-0.03889900864142758,0.0009499748703092337,0.030821662354734106,0.02430606447160244,-0.1918102502822876,0.5101496518002667,0.26352753029026427,1.0407946109771729,64.87997436523438,-95.15345764160156,A7,concat,2,42,"[""price""]",30890,6749,9251,-0.03889900864142758,21,1,0.01,64,20,1.0,64,0.0001,0.5,107.44204378128052
0.5168262257035103,0.5247958573989245,0.7360335195530726,0.6127194512266015,0.018035824981358486,0.0007388980011455715,0.027182678329141362,0.022835291922092438,-0.0014078617095947266,0.5191470844212358,0.6350466523450512,1.0996707677841187,14098.8388671875,-68.8686752319336,A7,concat,3,42,"[""price""]",37639,6894,9251,0.018035824981358486,62,1,0.01,64,20,1.0,64,0.0001,0.5,387.07714200019836
0.5134831460674157,0.526615969581749,0.6008676789587852,0.5612968591691996,0.02078205425236476,0.0005759927444159985,0.02399984884152395,0.02019931562244892,-0.0007042884826660156,0.5157303370786517,0.40990155712367754,1.063164234161377,142.102294921875,-49.63804244995117,A7,concat,4,42,"[""price""]",44533,2670,9251,0.02078205425236476,43,1,0.01,64,20,1.0,64,0.0001,0.5,303.1822741031647
0.5267553793884485,0.5599055011812353,0.4486208761492699,0.49812340489416,0.061959070169477534,0.001678951783105731,0.04097501413185517,0.030453544110059738,-0.0016134977340698242,0.516845979614949,-0.0025873905386807074,0.9995622038841248,-99.77562713623047,-99.92909240722656,A7,concat,0,123,"[""price""]",17224,7064,9251,0.061959070169477534,34,1,0.01,64,20,1.0,64,0.0001,0.5,104.54925894737244
0.5207512874886399,0.5727534377998081,0.4948880906327715,0.5309813222650459,0.04686329556329335,0.0010233365464955568,0.0319896318593315,0.02511555328965187,-0.3653296232223511,0.5037867312935475,0.07419903485932476,1.01125168800354,-80.7043228149414,-95.1424560546875,A7,concat,1,123,"[""price""]",24288,6602,9251,0.04686329556329335,21,1,0.01,64,20,1.0,64,0.0001,0.5,90.75573992729187
0.4934064305823085,0.5042534467585802,0.49854988399071926,0.5013854455301152,-0.01341370516896131,0.0009638446499593556,0.031045847547769664,0.024400051683187485,-0.20921099185943604,0.5100014817009927,-0.03012059264984331,0.9954401850700378,-95.5413818359375,-98.7458724975586,A7,concat,2,123,"[""price""]",30890,6749,9251,-0.01341370516896131,21,1,0.01,64,20,1.0,64,0.0001,0.5,113.01996517181396
0.5100087032201914,0.5234556432884347,0.629608938547486,0.5716459548567081,0.010748986107469717,0.0007386289071291685,0.027177728145103823,0.02285529300570488,-0.0010432004928588867,0.52088772845953,0.752463050002883,1.1191567182540894,55809.6484375,-68.51077270507812,A7,concat,3,123,"[""price""]",37639,6894,9251,0.010748986107469717,52,1,0.01,64,20,1.0,64,0.0001,0.5,320.6406979560852
